INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",8.6,HP_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",7.3,HP_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.9,HP_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.6,HP_FactSheet
 Infant mortality rate (IMR),"
19.*
20",34.0,HP_FactSheet
 Under five mortality rate (U5MR),"
20.*
",38.0,HP_FactSheet
 Any modern method (%),"
22.*
23",52.1,HP_FactSheet
 Female sterilization (%),"
23.*
24",34.5,HP_FactSheet
 Male sterilization (%),"
24.*
25",2.4,HP_FactSheet
 Total unmet need (%),"
28.*
29",15.7,HP_FactSheet
 Unmet need for spacing (%),"
29.*
",4.8,HP_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",69.1,HP_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3329.0,HP_FactSheet
 Institutional births (%),"43.*
44",76.4,HP_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",16.7,HP_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",69.5,HP_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",97.9,HP_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",67.2,HP_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",26.3,HP_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",13.7,HP_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",21.2,HP_FactSheet
 Women who are overweight or obese (%),"
77.*
78",28.6,HP_FactSheet
 Men who are overweight or obese (%),"
78.*
",22.0,HP_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",50.4,HP_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",90.8,HP_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",17.0,HP_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",11.3,HP_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",68.8,HP_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",73.9,HP_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",84.3,HP_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",5.9,HP_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,HP_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",0.5,HP_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",40.5,HP_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.3,HP_FactSheet
 Men who consume alcohol (%),"
112.*
113",39.7,HP_FactSheet
